Date,Close/Last,Volume,Open,High,Low
06/08/2023,$385.10,41777240,$377.24,$388.64,$375.05
06/07/2023,$374.75,51199790,$389.15,$394.99,$373.56
06/06/2023,$386.54,38872910,$388.30,$391.60,$381.48
06/05/2023,$391.71,39609380,$389.09,$395.6503,$387.07
06/02/2023,$393.27,48273120,$400.97,$405.00,$390.5801
06/01/2023,$397.70,63587300,$384.89,$400.50,$383.40
05/31/2023,$378.34,100258000,$394.88,$402.95,$378.22
05/30/2023,$401.11,92340110,$405.95,$419.38,$399.49
05/26/2023,$389.46,71439680,$378.90,$391.70,$375.50
05/25/2023,$379.80,154391100,$385.23,$394.80,$366.35
05/24/2023,$305.38,72141850,$302.10,$306.07,$298.06
05/23/2023,$306.88,35625330,$310.00,$312.88,$306.31
05/22/2023,$311.76,37199970,$309.01,$315.20,$306.80
05/19/2023,$312.64,47390770,$315.36,$315.80,$309.16
05/18/2023,$316.78,74872500,$304.10,$318.28,$303.20
05/17/2023,$301.78,43253540,$295.84,$301.99,$294.3001
05/16/2023,$292.13,44940490,$288.41,$298.70,$288.32
05/15/2023,$289.53,29392590,$285.085,$289.69,$281.52
05/12/2023,$283.40,27422230,$285.29,$287.80,$280.46
05/11/2023,$285.78,32214900,$288.96,$289.50,$282.46
05/10/2023,$288.85,36935000,$290.05,$291.13,$284.6128
05/09/2023,$285.71,31486950,$288.99,$289.73,$284.50
05/08/2023,$291.51,34497890,$285.22,$292.20,$283.50
05/05/2023,$286.80,36149410,$278.255,$287.55,$277.31
05/04/2023,$275.62,32185040,$276.51,$278.59,$272.40
05/03/2023,$278.02,38338740,$278.40,$283.67,$274.72
05/02/2023,$282.10,40272960,$286.80,$288.3599,$280.83
05/01/2023,$289.10,57032850,$278.40,$290.5844,$277.80
04/28/2023,$277.49,29221610,$272.25,$277.58,$270.7148
04/27/2023,$272.26,37716120,$273.63,$274.95,$266.2501
04/26/2023,$269.56,40633680,$270.02,$273.30,$267.051
04/25/2023,$262.41,37852720,$270.78,$272.47,$262.25
04/24/2023,$270.42,33928190,$270.13,$273.6599,$266.7101
04/21/2023,$271.19,34510280,$269.52,$271.83,$267.22
04/20/2023,$271.04,42771330,$276.71,$280.30,$270.00
04/19/2023,$279.31,35866040,$273.61,$280.00,$272.32
04/18/2023,$276.67,60481150,$275.335,$281.10,$273.57
04/17/2023,$270.02,32147130,$265.655,$270.06,$264.3318
04/14/2023,$267.58,39566010,$265.04,$268.83,$262.20
04/13/2023,$264.63,35361530,$267.34,$268.869,$263.29
04/12/2023,$264.95,44625900,$273.70,$274.6799,$264.475
04/11/2023,$271.69,31437820,$277.235,$277.90,$271.26
04/10/2023,$275.79,39527860,$268.23,$276.2099,$266.69
04/06/2023,$270.37,39765430,$265.84,$270.80,$264.27
04/05/2023,$268.81,51501470,$268.29,$269.98,$263.95
04/04/2023,$274.53,36859150,$279.66,$280.00,$273.07
